ORIGSYSREF,ORDERNUMBER,COUNTRY,BOOKINGDATE,ORDERTYPE,KEYCODE,SALESCHANNEL,SOURCE,MEDIUM,CAMPAIGN,DEVICE,TOPLEVELCATEGORY,ORDERS,REVENUE_NET_LCL,REVENUE_NET_USD,REVENUE_NET_USD_CONS_CURR,FTBS,FTB_REVENUE_NET_LCL,FTB_REVENUE_NET_USD,FTB_REVENUE_NET_USD_CONS_CURR,PRODUCT_REVENUE_LCL,PRODUCT_REVENUE_USD_CONS_CURR,PRODUCTS,QUANTITY,DISCOUNT_LCL,DISCOUNT_USD_CONS_CURR,DISCOUNTED_ORDER,ITEMCOST_LCL,ITEMCOST_USD,ITEMCOST_USD_CONS_CURR,GROSS_MARGIN_LCL,GROSS_MARGIN_USD,RN,CHANNEL_L1,BBSTATUS
ONUZ8DJ-23H34-0V2,52858173,CA,27/03/25,REDO-PPC WEB,,WB,,,,,inbound,-1,-216.45,-158.4414,-155.844,0,0,0,0,0,0,0,0,0,0,52858173,0,0,0,-219.76,-161.7514,1,Web Inbound,UPDATE
C15247098GQSB012663178,20244047,GB,19/09/18,GB_WEB-EMAIL,GQSB01,WB,,,,,email,1,263.75,346.9628,350.7875,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONUO4OV-61Y51-6G0,52539359,DE,04/02/25,DE_MO EO UPSELL TUNIS,,MO,,,,,,1,273.99,293.1693,309.6087,0,0,0,0,248.9909113,281.3597298,1.0000635,99.99648636,0,0,,3503.122144,150.7270413,3958.528022,-3229.26,142.5293,1,MO,INITIAL
ONXA1SQ-64A19-4X3,50129276,CH,10/11/23,CH_ABC_WEB_MAIL,,MO,,,,,,1,131.5,144.124,157.8,1,131.5,144.124,157.8,109.0852267,130.902272,0.996244,49.810622,0,0,,547.5978782,23.66035715,657.1174539,-418.18,120.484,1,MO,INITIAL
ONGN3UI-94G39-1M7,42192783,GB,25/10/21,WBGB_ABC WEB ORDER,TGBAFC,WB,bing,organic,(not set),desktop,web,1,186.95,257.2071,248.6435,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Organic Search,INITIAL
ONEL5NB-65Q68-6I2,47196568,FR,09/11/22,WBFR_ABC WEB ORDER,,WB,google,cpc,brand-fr-fr-search-np,desktop,web,1,389.99,393.4079,440.6887,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Brand,INITIAL
ONWM1KX-30J48-0V8,50035364,US,30/10/23,TM,,TM,,,,,,1,795.955,795.955,795.955,0,0,0,0,714.9695795,714.9695795,0.99971948,149.9913521,0,0,,375.2787817,375.2787817,375.2787817,420.655,420.655,1,TM,INITIAL
ONEU8WM-75V98-4F8,49240525,US,21/07/23,TMT Inbound MO-NPC MB,,MO,,,,,,1,473.9,473.9,473.9,0,0,0,0,404.9145571,404.9145571,0.999929,499.8943628,0,0,,88.08141402,88.08141402,88.08141402,385.8,385.8,1,MO,INITIAL
ONGO0KG-69T56-0E0,55601348,DE,04/11/25,WBDE_ABC WEB ORDER,,WB,google,cpc,brand-de-de-search-np,desktop,web,1,319.77,342.1539,361.3401,1,319.77,342.1539,361.3401,179.6707688,203.0279687,2.99784375,109.9209375,49.9640625,56.45939063,55601348,101.6568816,113.4710401,114.8722762,218.04,228.7339,1,Paid Search - Brand,INITIAL
ONTK0ZW-43D90-3Q7,27143651,SK,24/02/21,SK_ABC_WEB_EMAIL,BXYA01,WB,,,,,email,1,149.09,181.0836,168.4717,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
42310054061,42310054061,US,11/09/19,WB-CATALOG,NPC NA,WB,google,cpc,**shopping - non-pens in-house*,desktop,email,1,179,179,179,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,INITIAL
ONDT8WY-64M08-8C1,52109062,DE,06/11/24,DE_ABC_WEB_MAIL,,MO,,,,,,1,198.99,212.9193,224.8587,0,0,0,0,178.9910055,202.2598363,0.99992475,99.99506187,0,0,,932.65313,40.09480357,1053.898037,-733.71,172.8093,1,MO,INITIAL
ONFQ8LD-42L54-1N5,50764573,CA,14/03/24,TM-PPC TUNIS,,TM,,,,,,1,152.9,111.9228,110.088,0,0,0,0,98.93529358,71.23341138,0.9993544,99.9346755,0,0,,31.31951614,31.31839795,22.55005162,121.56,80.5828,1,TM,INITIAL
ONAG8XB-66F13-3M4,50500556,US,21/01/24,WB-CATALOG,,WB,,,,,web,1,105.99,105.99,105.99,1,105.99,105.99,105.99,54.99481084,54.99481084,0.99990966,249.9764611,0,0,,23.77775632,23.76775723,23.77775632,82.21,82.22,1,No-Match,INITIAL
ONUJ0IM-06Z25-9O9,55293049,FR,17/10/25,FR_ABC_WEB_MAIL,,MO,,,,,,1,104.49,111.8043,118.0737,0,0,0,0,84.898125,95.93488125,1.00467135,50.23555281,0,0,,16.23613894,16.12178092,18.34683701,88.33,95.6543,1,MO,INITIAL
13176481,51618176,IT,28/08/24,IT_TM TUNIS,,TM,,,,,,1,251.49,269.0943,284.1837,0,0,0,0,211.9128879,239.4615634,1.00193616,75.14646945,0,0,,84.87537016,90.67177377,95.90916828,166.78,178.4543,1,TM,INITIAL
