ORIGSYSREF,BBSTATUS,FTBIND,ORDERDATE,COUNTRYCODE,ORDERS,REVENUE_NET_USD_CONS_CURR,SALESCHANNEL,TP_DATE,TX_DEVICE,CHANNELS,SOURCE,MEDIUM,CAMPAIGN,COEFFICIENTS,TP_WEIGHT,WEIGHTED_COEFFICIENTS,Total_coeff,Normalized_coeff,Normalized_Revenue
ONOQ5CK-49K18-7N8,INITIAL,0,07/10/25,US,1,267.07,WB,07/10/25,non-digital,WEB INBOUND,web_inbound,web_inbound,web_inbound,0.077251185,1,0.077251185,0.290521327,0.265905383,71.01535073
ONPK4UY-72O21-3I3,INITIAL,0,10/11/25,US,1,243.84,WB,13/10/25,desktop,Email Web Push,email,webpush,20251013_US_CalendarsandPlanners,0.064199733,1,0.064199733,0.064203112,0.999947364,243.8271652
ONPK4UY-72O21-3I3,INITIAL,0,10/11/25,US,1,243.84,WB,24/10/25,desktop,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.016495765,1.00E-10,1.65E-12,0.064203112,2.57E-11,6.27E-09
ONPK4UY-72O21-3I3,INITIAL,0,10/11/25,US,1,243.84,WB,10/11/25,desktop,Direct,(direct),(none),(not set),0.337940259,1.00E-05,3.38E-06,0.064203112,5.26E-05,0.012834791
ONCL9VZ-90L14-7F3,INITIAL,0,25/09/25,FR,1,526.5687,MO,19/09/25,desktop,MO_Acquisition,mo_acquisition,mo_acquisition,mo_acquisition,0.003943909,1,0.003943909,0.003943909,1,526.5686999
ONCL9VZ-90L14-7F3,INITIAL,0,25/09/25,FR,1,526.5687,MO,25/09/25,desktop,MO_Acquisition,mo_acquisition,mo_acquisition,mo_acquisition,0.003943909,1.00E-10,3.94E-13,0.003943909,1.00E-10,5.27E-08
ONVU1RL-85I19-0G7,INITIAL,0,12/11/25,CA,1,187.848,MO,12/11/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.078291815,1,0.078291815,0.078291815,1,187.848
ONBB4FB-08E50-1T8,INITIAL,0,02/12/25,US,1,247.98,WB,02/12/25,desktop,Paid Search - NonBrand,google,cpc,NB-Writing-Pens,0.060187249,1,0.060187249,0.060187713,0.999992296,247.9780897
ONBB4FB-08E50-1T8,INITIAL,0,02/12/25,US,1,247.98,WB,02/12/25,desktop,EMAIL_TX,email,art_review,logo_modified_us,0.046366473,1.00E-05,4.64E-07,0.060187713,7.70E-06,0.00191035
ONDZ3ZA-57D26-4I8,INITIAL,0,02/04/25,US,1,391.5,TM,01/04/25,non-digital,TM_TA,tm_ta,tm_ta,tm_ta,0.055924171,1,0.055924171,0.055924171,1,391.5
ONDZ3ZA-57D26-4I8,INITIAL,0,01/04/25,US,1,68.94,TM,01/04/25,non-digital,TM_TA,tm_ta,tm_ta,tm_ta,0.055924171,1,0.055924171,0.055924171,1,68.94
ONVC1GB-11V71-0H7,INITIAL,0,10/12/25,US,1,548.95,TM,10/12/25,non-digital,TM_OTHERS,tm_others,tm_others,tm_others,0.213270142,1,0.213270142,0.213270142,1,548.95
ONLJ4KL-13S29-1O8,INITIAL,0,24/02/26,US,1,793.65,WB,06/02/26,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,3.38E-06,7.26E-07,0.000575867
ONLJ4KL-13S29-1O8,INITIAL,0,24/02/26,US,1,793.65,WB,24/02/26,desktop,Direct,(direct),(none),(not set),0.337940259,1.00E-05,3.38E-06,3.38E-06,0.999999274,793.6494241
